rank,instruction,total_ns,total_ms,ns_per_exec,exec_calls,mnemonics_covered
1,branch,3939800,3.939800,26.5519,148381,4
2,ldr,3894700,3.894700,90.8851,42853,3
3,cmp,1380100,1.380100,32.0209,43100,1
4,bitop,1284700,1.284700,30.1885,42556,3
5,str,48400,0.048400,304.4025,159,3
6,stm,43500,0.043500,83.0153,524,1
7,stack,23700,0.023700,333.8028,71,2
8,movs,19700,0.019700,131.3333,150,1
9,mov,14100,0.014100,115.5738,122,1
10,calculate,6000,0.006000,206.8966,29,4
11,compare_branch,5600,0.005600,127.2727,44,2
12,bit_field,4400,0.004400,366.6667,12,1
13,nop,1400,0.001400,43.7500,32,1
14,adr,1200,0.001200,400.0000,3,1
15,ldm,1000,0.001000,100.0000,10,1
16,extend,300,0.000300,27.2727,11,1
